Pl_name,Hostname,Disc_year,Pl_orbper,Pl_orbsmax,Pl_rade,Pl_eqt,St_teff,St_rad,Sy_dist,St_lum,Rad_cat,Disc_dec,Habit_sco,Orb_zone
Ross 176 b,Ross 176,2025,5.0066338,0.0464,1.84,682,4041,0.569,46.4488,8.63E+13,Giant,2020,Low,Outer
KOI-134 b,KOI-134,2025,67.1277,0.363,12.03844527,659,6160,1.667,1159.21,4.00E+15,Giant,2020,Low,Outer
TOI-1203 b,TOI-1203,2025,4.1572888,0.04869,1.52,1361.2,5737,1.179,64.9943,1.51E+15,Giant,2020,Low,Outer
TOI-1173 b,TOI-1173,2024,7.06466,0.0696,9.19,868,5350,0.934,132.353,7.15E+14,Giant,2020,Low,Outer
TIC 139270665 b,TIC 139270665,2024,23.624,0.163,7.22979255,703,5844,1.016,189.875,1.20E+15,Giant,2020,Low,Outer
TOI-1386 b,TOI-1386,2024,25.83839,0.1732,6.05284958,676.4,5793,1.015,146.858,1.16E+15,Giant,2020,Low,Outer
TOI-406 c,TOI-406,2024,3.307441,0.0322,1.32,584,3392,0.41,31.0597,2.23E+13,Giant,2020,Low,Outer
TOI-771 b,TOI-771,2024,2.3260155,0.0208,1.36,543,3370,0.232,25.2788,6.94E+12,Giant,2020,Low,Outer
TOI-4438 b,TOI-4438,2024,7.44628,0.0534,2.52,435,3422,0.372,30.0346,1.90E+13,Giant,2020,Low,Outer
TOI-406.01,TOI-406,2024,13.175682,0.0809,2.08,368,3392,0.41,31.0597,2.23E+13,Giant,2020,Low,Outer
TOI-2580 b,TOI-2580,2024,3.39775,0.048,17.37392009,2410,6120,1.81,379.253,4.60E+15,Giant,2020,Low,Outer
TOI-1295 b,TOI-1295,2024,3.1968838,0.047,15.69257298,2360,6280,1.7,388.227,4.50E+15,Giant,2020,Low,Outer
TOI-6130 b,TOI-6130,2024,2.392679,0.036,14.3474953,1750,6110,1.51,220.882,3.18E+15,Giant,2020,Low,Outer
TOI-2458 b,TOI-2458,2024,3.73659,0.0482,2.83,1509.4,6005,1.31,112.958,2.23E+15,Giant,2020,Low,Outer
TOI-4010 c,TOI-4010,2023,5.414654,0.058,5.93,907,4960,0.83,177.504,4.17E+14,Giant,2020,Low,Outer
TOI-181 b,TOI-181,2023,4.532,0.0539,6.9559,895.1,4994,0.745,96.2338,3.45E+14,Giant,2020,Low,Outer
TOI-836 b,TOI-836,2023,3.81673,0.0422,1.704,871,4552,0.665,27.5024,1.90E+14,Giant,2020,Low,Outer
HD 207496 b,HD 207496,2023,6.441008,0.0629,2.25,743,4819,0.769,23.606,3.19E+14,Giant,2020,Low,Outer
TOI-4201 b,TOI-4201,2023,3.5819194,0.04,13.67495645,725,3794,0.63,189.011,8.22E+13,Giant,2020,Low,Outer
TOI-4860 b,TOI-4860,2023,1.5227591,0.01808,8.7,694,3260,0.358,80.1423,1.45E+13,Giant,2020,Low,Outer
TOI-2134 b,TOI-2134,2023,9.2292005,0.078,2.69,666,4580,0.709,22.6202,2.21E+14,Giant,2020,Low,Outer
TOI-836 c,TOI-836,2023,8.59545,0.075,2.587,665,4552,0.665,27.5024,1.90E+14,Giant,2020,Low,Outer
TOI-4010 d,TOI-4010,2023,14.70886,0.113,6.18,650,4960,0.83,177.504,4.17E+14,Giant,2020,Low,Outer
TOI-4127 b,TOI-4127,2023,56.39879,0.3081,12.28504285,605.1,6096,1.293,319.632,2.31E+15,Giant,2020,Low,Outer
TOI-3785 b,TOI-3785,2023,4.6747373,0.043,5.14,582,3576,0.5,79.7634,4.09E+13,Giant,2020,Low,Outer
TOI-2015 b,TOI-2015,2023,3.348237,0.029322,3.309,530.9,3297,0.3273,47.3444,1.27E+13,Giant,2020,Low,Outer
TOI-2010 b,TOI-2010,2023,141.834025,0.5516,11.81426566,400.2,5929,1.079,109.19,1.44E+15,Giant,2020,Low,Outer
LP 791-18 d,LP 791-18,2023,2.753436,0.01992,1.032,395.5,2960,0.182,26.4927,2.54E+12,Giant,2020,Low,Outer
TOI-2134 c,TOI-2134,2023,95.5,0.371,7.27,306,4580,0.709,22.6202,2.21E+14,Giant,2020,Low,Outer
TOI-4603 b,TOI-4603,2023,7.24599,0.0888,11.67975789,1677,6264,2.738,225.643,1.15E+16,Giant,2020,Low,Outer
TOI-4010 b,TOI-4010,2023,1.348335,0.0229,3.02,1441,4960,0.83,177.504,4.17E+14,Giant,2020,Low,Outer
TOI-908 b,TOI-908,2023,3.183792,0.041657,3.186,1317,5626,1.028,175.748,1.06E+15,Giant,2020,Low,Outer
WASP-193 b,WASP-193,2023,6.2463345,0.0676,16.40994774,1254,6078,1.239,362.087,2.10E+15,Giant,2020,Low,Outer
TOI-733 b,TOI-733,2023,4.884765,0.0618,1.992,1055.8,5585,0.949,75.2092,8.76E+14,Giant,2020,Low,Outer
HD 23472 d,HD 23472,2022,3.97664,0.04298,0.75,909,4684,0.71,39.0341,2.43E+14,Giant,2020,Low,Outer
TOI-3757 b,TOI-3757,2022,3.438753,0.03845,12,759,3913,0.62,181.139,9.01E+13,Giant,2020,Low,Outer
TOI-3714 b,TOI-3714,2022,2.154849,0.027,11.32107051,750,3660,0.51,112.71,4.67E+13,Giant,2020,Low,Outer
HD 73583 b,HD 73583,2022,6.3980661,0.05995,2.84,742.7,4582,0.677,31.5666,2.02E+14,Giant,2020,Low,Outer
TOI-1710 b,TOI-1710,2022,24.283382,0.164,5.15,730,5730,0.95,81.2271,9.73E+14,Giant,2020,Low,Outer
HD 23472 e,HD 23472,2022,7.90754,0.068,0.818,723,4684,0.71,39.0341,2.43E+14,Giant,2020,Low,Outer
HD 73583 b,HD 73583,2022,6.398042,0.0604,2.79,714,4511,0.65,31.5666,1.75E+14,Giant,2020,Low,Outer
HD 260655 b,HD 260655,2022,2.76953,0.02933,1.24,709,3803,0.439,10.0055,4.03E+13,Giant,2020,Low,Outer
TOI-3629 b,TOI-3629,2022,3.936551,0.043,8.29464572,690,3870,0.6,130.091,8.08E+13,Giant,2020,Low,Outer
HD 23472 f,HD 23472,2022,12.1621839,0.0906,1.137,630,4684,0.71,39.0341,2.43E+14,Giant,2020,Low,Outer
HD 260655 c,HD 260655,2022,5.70588,0.04749,1.533,557,3803,0.439,10.0055,4.03E+13,Giant,2020,Low,Outer
HD 73583 c,HD 73583,2022,18.8805,0.1233,2.73,517.8,4582,0.677,31.5666,2.02E+14,Giant,2020,Low,Outer
HD 73583 c,HD 73583,2022,18.87974,0.1242,2.39,498,4511,0.65,31.5666,1.75E+14,Giant,2020,Low,Outer
TOI-5542 b,TOI-5542,2022,75.12375,0.332,11.30986153,441,5700,1.058,348.849,1.18E+15,Giant,2020,Low,Outer
TOI-2180 b,TOI-2180,2022,260.79,0.828,11.32107051,348,5695,1.636,116.685,2.82E+15,Giant,2020,Low,Outer
TOI-1107 b,TOI-1107,2022,4.0782387,0.0561,14.57167491,1728,6311,1.81,281.314,5.20E+15,Giant,2020,Low,Outer
TOI-500 b,TOI-500,2022,0.548177,0.01189,1.166,1617,4440,0.678,47.3924,1.79E+14,Giant,2020,Low,Outer
HD 5278 b,HD 5278,2021,14.339156,0.1202,2.45,943,6203,1.194,57.5846,2.11E+15,Giant,2020,Low,Outer
HD 207897 b,HD 207897,2021,16.202159,0.1163,2.501,632.2,5070,0.779,28.2938,4.01E+14,Giant,2020,Low,Outer
TOI-269 b,TOI-269,2021,3.6977104,0.0345,2.77,531,3514,0.398,57.0225,2.42E+13,Giant,2020,Low,Outer
TOI-1231 b,TOI-1231,2021,24.245586,0.1288,3.65,329.6,3553,0.476,27.6227,3.61E+13,Giant,2020,Low,Outer
TOI-1431 b,TOI-1431,2021,2.650237,0.046,16.70138124,2370,7690,1.92,148.925,1.29E+16,Giant,2020,Low,Outer
HD 110113 b,HD 110113,2021,2.541,0.035,2.05,1371,5732,0.968,106.307,1.01E+15,Giant,2020,Low,Outer
GJ 367 b,GJ 367,2021,0.3219225,0.00709,0.699,1365,3522,0.458,9.41263,3.23E+13,Giant,2020,Low,Outer
TOI-1062 b,TOI-1062,2021,4.11296,0.052,2.265,1077,5328,0.84,82.1733,5.69E+14,Giant,2020,Low,Outer
EPIC 249893012 c,EPIC 249893012,2020,15.624,0.13,3.67,990,5430,1.71,321.296,2.54E+15,Giant,2020,Low,Outer
TOI-421 b,TOI-421,2020,5.19672,0.056,2.68,981.4,5325,0.871,74.7969,6.10E+14,Giant,2020,Low,Outer
HD 191939 b,HD 191939,2020,8.8803256,0.0804,3.41,880,5348,0.94,53.6089,7.23E+14,Giant,2020,Low,Outer
HD 332231 b,HD 332231,2020,18.71204,0.1436,9.718203,876,6089,1.277,80.6665,2.24E+15,Giant,2020,Low,Outer
TOI-561 c,TOI-561,2020,10.778831,0.0884,2.91,800,5372,0.843,85.799,5.92E+14,Giant,2020,Low,Outer
TOI-1728 b,TOI-1728,2020,3.49151,0.0391,5.05,767,3980,0.6243,60.798,9.78E+13,Giant,2020,Low,Outer
EPIC 249893012 d,EPIC 249893012,2020,35.747,0.22,3.94,752,5430,1.71,321.296,2.54E+15,Giant,2020,Low,Outer
TOI-421 c,TOI-421,2020,16.06819,0.1189,5.09,673.6,5325,0.871,74.7969,6.10E+14,Giant,2020,Low,Outer
TOI-125 d,TOI-125,2020,19.98,0.137,2.93,638.1,5320,0.848,111.059,5.76E+14,Giant,2020,Low,Outer
TOI-1130 b,TOI-1130,2020,4.07445,0.04457,3.56,632.17,4350,0.695,58.2609,1.73E+14,Giant,2020,Low,Outer
HD 191939 c,HD 191939,2020,28.579743,0.1752,3.195,600,5348,0.94,53.6089,7.23E+14,Giant,2020,Low,Outer
TOI-561 d,TOI-561,2020,25.7124,0.158,2.82,598,5372,0.843,85.799,5.92E+14,Giant,2020,Low,Outer
HD 191939 d,HD 191939,2020,38.353037,0.2132,2.995,540,5348,0.94,53.6089,7.23E+14,Giant,2020,Low,Outer
TOI-776 b,TOI-776,2020,8.24661,0.0652,1.85,514,3709,0.538,27.1701,5.48E+13,Giant,2020,Low,Outer
TOI-1130 c,TOI-1130,2020,8.350231,0.07191,13.32,497.7,4350,0.695,58.2609,1.73E+14,Giant,2020,Low,Outer
TOI-776 c,TOI-776,2020,15.6653,0.1,2.02,415,3709,0.538,27.1701,5.48E+13,Giant,2020,Low,Outer
TOI-561 e,TOI-561,2020,77.03,0.328,2.55,415,5372,0.843,85.799,5.92E+14,Giant,2020,Low,Outer
TOI-1266 b,TOI-1266,2020,10.894843,0.0736,2.37,413,3600,0.42,36.0118,2.96E+13,Giant,2020,Low,Outer
LTT 3780 c,LTT 3780,2020,12.252131,0.0762,2.42,397,3360,0.382,21.9814,1.86E+13,Giant,2020,Low,Outer
HD 95338 b,HD 95338,2020,55.087,0.262,3.89,385,5212,0.87,36.9941,5.59E+14,Giant,2020,Low,Outer
TOI-1899 b,TOI-1899,2020,29.02,0.1587,12.89035,362,3841,0.607,128.438,8.02E+13,Giant,2020,Low,Outer
LTT 3780 c,LTT 3780,2020,12.2519,0.07673,2.3,353,3331,0.374,21.9814,1.72E+13,Giant,2020,Low,Outer
TOI-1266 c,TOI-1266,2020,18.80151,0.1058,1.56,344,3600,0.42,36.0118,2.96E+13,Giant,2020,Low,Outer
EPIC 249893012 b,EPIC 249893012,2020,3.5951,0.047,1.95,1616,5430,1.71,321.296,2.54E+15,Giant,2020,Low,Outer
LTT 3780 b,LTT 3780,2020,0.768377,0.01203,1.35,1000,3360,0.382,21.9814,1.86E+13,Giant,2020,Low,Outer
TOI-125 c,TOI-125,2019,9.15059,0.0814,2.759,827.8,5320,0.848,111.059,5.76E+14,Giant,2010,Low,Outer
K2-292 b,K2-292,2019,16.9841,0.13,2.63,795,5725,1.09,114.293,1.28E+15,Giant,2010,Low,Outer
L 98-59 b,L 98-59,2019,2.2531136,0.02191,0.85,627,3415,0.303,10.6194,1.25E+13,Giant,2010,Low,Outer
L 98-59 b,L 98-59,2019,2.253114,0.0223,0.837,620,3415,0.3155,10.6194,1.35E+13,Giant,2010,Low,Outer
L 98-59 c,L 98-59,2019,3.6906777,0.0304,1.385,553,3415,0.303,10.6194,1.25E+13,Giant,2010,Low,Outer
HD 23472 b,HD 23472,2019,17.667087,0.1162,2,543,4684,0.71,39.0341,2.43E+14,Giant,2010,Low,Outer
L 98-59 c,L 98-59,2019,3.6906764,0.0309,1.329,526,3415,0.3155,10.6194,1.35E+13,Giant,2010,Low,Outer
HD 23472 c,HD 23472,2019,29.79749,0.1646,1.87,467,4684,0.71,39.0341,2.43E+14,Giant,2010,Low,Outer
L 98-59 d,L 98-59,2019,7.4507245,0.0486,1.521,416,3415,0.303,10.6194,1.25E+13,Giant,2010,Low,Outer
L 98-59 d,L 98-59,2019,7.450729,0.0494,1.627,416,3415,0.3155,10.6194,1.35E+13,Giant,2010,Low,Outer
LP 791-18 c,LP 791-18,2019,4.9899093,0.02961,2.438,324.4,2960,0.182,26.4927,2.54E+12,Giant,2010,Low,Outer
XO-7 b,XO-7,2019,2.8641424,0.04421,15.389957,1743,6250,1.48,234.149,3.34E+15,Giant,2010,Low,Outer
NGTS-9 b,NGTS-9,2019,4.43527,0.058,11.99363,1448,6330,1.38,609.128,3.06E+15,Giant,2010,Low,Outer
NGTS-8 b,NGTS-8,2019,2.4997,0.035,12.21781,1345,5241,0.98,428.976,7.25E+14,Giant,2010,Low,Outer
TOI-125 b,TOI-125,2019,4.65382,0.05186,2.726,1037,5320,0.848,111.059,5.76E+14,Giant,2010,Low,Outer
K2-233 d,K2-233,2018,24.3681,0.1516,2.363,525,4796,0.71,67.5062,2.67E+14,Giant,2010,Low,Outer
HATS-36 b,HATS-36,2018,4.1752387,0.05425,13.843115,1356,6149,1.155,856.436,1.91E+15,Giant,2010,Low,Outer
K2-140 b,K2-140,2017,6.5693,0.0591,12.273855,1114,5654,0.987,347.917,9.96E+14,Giant,2010,Low,Outer
K2-38 c,K2-38,2016,10.56103,0.09514,2.29,916,5731,1.06,192.69,1.21E+15,Giant,2010,Low,Outer
HATS-17 b,HATS-17,2016,16.254611,0.1308,8.709393,814,5846,1.091,400.331,1.39E+15,Giant,2010,Low,Outer
WASP-132 b,WASP-132,2016,7.1335164,0.0674,10.09929161,682,4686,0.758,122.91,2.77E+14,Giant,2010,Low,Outer
K2-38 b,K2-38,2016,4.01593,0.04994,1.54,1266,5731,1.06,192.69,1.21E+15,Giant,2010,Low,Outer
K2-3 b,K2-3,2015,10.0546535,0.0747,2.078,501.3,3844,0.546,44.0727,6.51E+13,Giant,2010,Low,Outer
K2-25 b,K2-25,2015,3.48456408,0.0287,3.44,494,3207,0.2932,44.9565,9.09E+12,Giant,2010,Low,Outer
K2-3 c,K2-3,2015,24.646729,0.1357,1.582,371.8,3844,0.546,44.0727,6.51E+13,Giant,2010,Low,Outer
Kepler-278 b,Kepler-278,2014,30.1556,0.202,3.955,586,4965,2.861,443.03,4.97E+15,Giant,2010,Low,Outer
Kepler-278 c,Kepler-278,2014,51.111,0.287,3.268,492,4965,2.861,443.03,4.97E+15,Giant,2010,Low,Outer
